state,year,enact_year.x,contrib_agri,valueofagsect,pldvpag,govparty_c,st,stateno,state_fips,state_icpsr,agtaxcredit,interstate_compact_on_agricultur,ig_ag,union_density,sals,gagexem,agriculture_ig,agemploy,code300,govparty_a,govparty_b,govparty_b_2,state_midterm_penalty,know_govparty,total_cases,pre_statute_cases,post_statute_cases,pre_statute_liability,pre_statute_equine,enact_year.y
Alabama,2012,2012,165456.5625,886209,NA,NA,AL,1,1,41,NA,NA,19,NA,NA,1,16,394192,NA,NA,NA,NA,NA,NA,5,4,1,1,1,2012
Arkansas,2011,2011,7572.399902,2364600,NA,1,AR,4,5,42,NA,NA,47,4.199999809,NA,NA,31,390132,NA,1,1,1,1,NA,2,1,1,0,0,2011
Colorado,2008,2008,45430,2201212,1,1,CO,6,8,62,NA,1,23,8.100000381,0,1,26,386082,NA,1,1,1,1,NA,6,5,1,2,2,2008
Florida,2013,2013,12500,3903227,NA,NA,FL,9,12,43,NA,NA,66,NA,NA,1,84,420742,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2013
Georgia,2008,2008,415955,3632628,1,0,GA,10,13,44,NA,NA,44,3.700000048,0,1,49,402982,NA,0,0,-1,-1,NA,12,8,4,4,1,2008
Hawaii,2006,2006,113615.8281,353825,0,0,HI,11,15,82,NA,NA,NA,24.799999239999998,0,0,18,376422,NA,0,0,-1,0,87.85,1,1,0,0,1,2006
Idaho,2014,2014,945649.1875,3474435,NA,NA,ID,12,16,63,NA,NA,35,NA,NA,0,54,382972,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2014
Illinois,2006,2006,1128035.125,4137286,1,1,IL,13,17,21,NA,NA,NA,16.5,1,0,48,404832,NA,1,1,1,0,87.46,9,7,2,4,0,2006
Indiana,2011,2011,113057.5,5361440,NA,0,IN,14,18,22,NA,NA,10,11.19999981,NA,NA,30,387142,NA,0,0,-1,-1,NA,9,6,3,1,1,2011
Kansas,2004,2004,238366.9063,3429357,1,1,KS,16,20,32,NA,1,NA,8.5,0,1,NA,392882,NA,1,1,1,1,NA,1,1,0,0,0,2004
Kentucky,2012,2012,95219,2192138,NA,NA,KY,17,21,51,NA,NA,20,NA,NA,1,26,387002,NA,NA,NA,NA,NA,NA,9,7,2,1,0,2012
Louisiana,2008,2008,41400,1292827,1,0,LA,18,22,45,NA,NA,30,4.699999809,0,1,31,380782,0,0,0,-1,-1,NA,18,13,5,1,0,2008
Maine,2012,2012,14550,336062,NA,NA,ME,19,23,2,NA,NA,27,NA,NA,1,21,375632,NA,NA,NA,NA,NA,NA,2,1,1,0,1,2012
Maryland,2018,2018,349778,768451,NA,NA,MD,20,24,52,NA,NA,18,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,2018
