state,ag_gdp,rural_pop,gov_party
Alabama,0.052,42.3,1
Alaska,0.012,35.1,1
Arizona,0.017,11.5,1
Arkansas,0.044,43.9,1
Colorado,0.011,14.4,0
Connecticut,0.005,13.8,0
Delaware,0.009,17.9,1
Florida,0.013,9.1,1
Georgia,0.022,26.6,1
Hawaii,0.01,14.0,0
Idaho,0.046,30.9,1
Illinois,0.007,12.3,1
Indiana,0.028,27.5,1
Iowa,0.061,35.7,1
Kansas,0.052,30.2,1
Kentucky,0.03,31.6,1
Louisiana,0.02,26.8,1
Maine,0.037,61.3,0
Maryland,0.004,10.3,0
Massachusetts,0.003,9.5,0
Michigan,0.01,25.1,0
Minnesota,0.031,26.5,0
Mississippi,0.066,50.0,1
Missouri,0.038,29.6,1
Montana,0.048,43.8,1
Nebraska,0.067,34.1,1
New Hampshire,0.008,39.5,0
New York,0.006,12.2,0
North Carolina,0.019,20.3,0
North Dakota,0.059,46.0,1
Ohio,0.011,22.0,1
Oklahoma,0.05,33.9,1
Oregon,0.031,21.4,0
Pennsylvania,0.01,18.0,0
South Carolina,0.029,32.2,1
South Dakota,0.063,43.0,1
Tennessee,0.022,23.3,1
Texas,0.042,15.6,1
Utah,0.02,9.3,1
Vermont,0.019,33.2,0
Virginia,0.009,23.2,1
Washington,0.007,16.3,0
West Virginia,0.053,48.7,1
Wisconsin,0.028,29.9,1
