state,enact_year,ag_cash_receipts,govparty_republican,log_ag_cash_receipts,total_cases
Alaska,2003,31571.0,1,10.360025930828293,
Kansas,2004,9298483.0,0,16.0453619340831,
Oklahoma,2004,5041533.0,0,15.433220958817262,
North Carolina,2005,8147436.0,0,15.913213957230697,
Hawaii,2006,580498.0,1,13.271643357465715,
Illinois,2006,9056880.0,0,16.019035358262265,
Massachusetts,2006,436167.0,1,12.985782769214978,
Michigan,2006,4592406.0,0,15.3399148454581,
Virginia,2006,2572430.0,0,14.760361924173187,
Colorado,2008,6200618.0,0,15.640159683741444,
Delaware,2008,1009620.0,0,13.82508557086972,
Georgia,2008,7258440.0,1,15.797675625449399,
Louisiana,2008,2833285.0,1,14.856947726770537,
Utah,2008,1441858.0,1,14.181443811186254,
Montana,2009,2794763.0,0,14.843258224512637,
Tennessee,2009,2944508.0,0,14.895452637908194,
Missouri,2010,8517334.0,0,15.9576140564482,
South Carolina,2010,2413141.0,1,14.696440190782868,
South Dakota,2010,7546309.0,1,15.836569260030188,
Arkansas,2011,7998850.0,0,15.894808464329053,
Indiana,2011,11736853.0,1,16.278244363710353,
North Dakota,2011,7393256.0,1,15.816078926548315,
Alabama,2012,5228635.0,1,15.4696609989668,
Kentucky,2012,4797668.0,0,15.38364073292411,
Maine,2012,777103.0,1,13.56332946852677,
Mississippi,2012,6281663.0,1,15.653145471499386,
Florida,2013,8414738.0,1,15.945495369083256,
Idaho,2014,8791276.0,1,15.989270537835253,
Wisconsin,2014,12898494.0,1,16.37262119585915,
Minnesota,2015,16382154.0,0,16.611703190617124,
Nebraska,2015,23096593.0,1,16.955195718733364,
Oregon,2015,4971588.0,0,15.419250065283663,
Texas,2015,23162190.0,1,16.958031808957895,
Ohio,2016,8333682.0,1,15.93581605328407,
New York,2017,5222385.0,0,15.468464943548472,
Washington,2017,9668855.0,0,16.084420556397912,
Maryland,2018,2229036.0,1,14.617080211602154,
New Hampshire,2018,217194.0,1,12.28855084651912,
West Virginia,2018,696135.0,1,13.453300322526864,
Arizona,2019,4472074.0,1,15.313363064696118,
Iowa,2021,34865164.0,1,17.366998751165845,
Pennsylvania,2021,7537783.0,0,15.835438797583059,
Vermont,2021,813526.0,1,13.609134395010555,
