state,enact_year,contrib_agri,valueofagsect,agtaxcredit,interstate_compact_on_agricultur,ig_ag,agriculture_ig,agemploy,code300,union_density,sals,gagexem,st,stateno,state_fips,state_icpsr,poptotal,gsppcap,incomepcap,unemployment,povrate,govparty_c,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total,total_cases,log_contrib_agri,log_valueofagsect,has_cspp_data,regime
Alaska,2003,NA,19147,NA,NA,NA,NA,375332,NA,22.5,0,NA,AK,2,2,81,650426,55949,33657,8,9.6,1,0.03688376923076923,NA,1.78,22.7256754025,0.25966666666666666,11,146.72972972972974,0,157.72972972972974,0,NA,9.859901324373205,TRUE,Experimentation
Kansas,2004,238366.9063,3429357,NA,1,NA,NA,392882,NA,8.5,0,1,KS,16,20,32,2731069,37645,31882,5.5,11.4,0,0.04399822448979591,0.8010196751739131,1.71,11.1467381655,0.12033333333333332,104.45945945945944,626.6216216216217,1355.6216216216217,2086.7027027027025,1,12.381566388681815,15.047883338011783,TRUE,Experimentation
Oklahoma,2004,522820.0313,2225654,NA,NA,NA,NA,378232,NA,6.199999809,0,0,OK,36,40,53,3511960,34006,28702,4.9,10.8,0,0.03468128571428571,-0.6978834435652174,1.42,-1.455536407,0.208,77,586.2972972972973,0,663.2972972972973,0,13.166992575415172,14.615561362977028,TRUE,Experimentation
North Carolina,2005,NA,4558579,NA,NA,NA,NA,456692,2,3,1,NA,NC,33,37,47,8661061,40776,31905,5.2,13.1,0,0.04702642857142856,-1.5244391073913044,1.57,9.7150947035,0.17900000000000002,100,515.1081081081081,0,615.1081081081081,24,NA,15.332521510119076,TRUE,Experimentation
Hawaii,2006,113615.8281,353825,NA,NA,NA,18,376422,NA,24.799999239999998,0,0,HI,11,15,82,1275264,44992,37507,2.6,9.2,1,0.05562280769230769,NA,1.88,-6.5287131515,0.241,3,1,0,4,1,11.640578107429603,12.776557719602039,TRUE,Experimentation
Illinois,2006,1128035.125,4137286,NA,NA,NA,48,404832,NA,16.5,1,0,IL,13,17,21,12759673,46105,39900,4.5,10.6,0,0.06645165306122448,0.18392595673913045,1.96,-12.89580648575,0.2803333333333333,102,1285.891891891892,1433.108108108108,2821,9,13.935987849739725,15.235550575275443,TRUE,Experimentation
Massachusetts,2006,122278.8984,241681,NA,NA,NA,20,381472,NA,14.5,1,0,MA,21,25,3,6443424,51194,47559,4.9,12,1,0.05358732653061224,0.8735089190869566,2.36,6.0338867917500005,0.36766666666666664,9.18918918918919,42.51351351351352,308.4864864864865,360.18918918918916,7,11.714059767132003,12.39537395375474,TRUE,Experimentation
Michigan,2006,517629.0938,2165296,NA,NA,NA,37,385292,NA,19.700000760000002,1,0,MI,22,26,23,10083878,36647,33365,7,13.3,0,0.04947967346938776,0.19942560347826088,1.69,-5.08261881675,0.4403333333333334,83,532.972972972973,1242.5945945945946,1858.5675675675675,8,13.15701422963089,14.588067630627597,TRUE,Experimentation
Virginia,2006,NA,972121,NA,NA,NA,22,387582,1,4.099999905,1,0,VA,46,51,40,7628347,47398,41218,3.1,8.6,0,0.04890581632653061,-0.710206546826087,1.65,-2.1735920684999996,0.14833333333333334,95.13513513513512,229.35135135135135,0,324.4864864864865,1,NA,13.787235561291595,TRUE,Experimentation
Colorado,2008,45430,2201212,NA,1,NA,26,386082,NA,8.100000381,0,1,CO,6,8,62,4939456,47659,44164,4.8,11,0,0.05180197959183674,0.8257423129565218,2,9.15785503425,0.2193333333333333,62,267.43243243243245,0,329.43243243243245,6,10.72392795875345,14.604518675724751,TRUE,Experimentation
