state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,,,,,,,,,
Alaska,0.095726,,,,,,,,
Alaska,0.095726,,,,,,,,
Alaska,0.00153,,,,,,,,
Alaska,0.00153,,,,,,,,
Alaska,0.017256,,,,,,,,
Alaska,0.017256,,,,,,,,
Alaska,0.034709,,,,,,,,
Alaska,0.034709,,,,,,,,
Alaska,0.020202,,,,,,,,
Alaska,0.020202,,,,,,,,
Alaska,0.019849,,,,,,,,
Alaska,0.019849,,,,,,,,
Alaska,0.03848,,,,,,,,
Alaska,0.03848,,,,,,,,
Alaska,0.00089,,,,,,,,
Alaska,0.00089,,,,,,,,
Alaska,0.029173,,,,,,,,
Alaska,0.029173,,,,,,,,
Alaska,0.001005,,,,,8.0,142.0,0.0,150.0
Alaska,0.001005,,,,,8.0,142.0,0.0,150.0
Alaska,0.054081,,,,0.32,8.0,142.0,0.0,150.0
Alaska,0.054081,,,,,8.0,142.0,0.0,150.0
Alaska,0.050068,,,,,8.0,142.0,0.0,150.0
Alaska,0.050068,,,,,8.0,142.0,0.0,150.0
Alaska,0.050997,,,,,8.0,142.0,0.0,150.0
Alaska,0.050997,,,,,8.0,142.0,0.0,150.0
Alaska,0.027553,,,,,8.0,142.0,0.0,150.0
Alaska,0.027553,,,,,8.0,142.0,0.0,150.0
Alaska,0.014438,,,,,9.0,149.0,0.0,158.0
Alaska,0.014438,,,,,9.0,149.0,0.0,158.0
Alaska,0.013487,,,,,9.0,149.0,0.0,158.0
Alaska,0.013487,,,,,9.0,149.0,0.0,158.0
Alaska,0.024716,,,,,9.0,149.0,0.0,158.0
Alaska,0.024716,,,,,12.0,148.0,0.0,160.0
