state,contrib_agri,sals,agemploy,agtaxcredit,interstate_compact_on_agricultur
Alabama,942298.231315,0.0,399772.6666666667,0.0,0.0
Alaska,57147.30720357143,0.0,378764.0,0.0,0.0
Arizona,118141.60612916667,0.46938775510204084,393505.3333333333,0.0,0.0
Arkansas,454569.48521836364,0.5,397843.3333333333,0.0,0.0
Colorado,97459.64388416667,0.0,387466.6666666667,1.0,1.0
Connecticut,39464.18638571428,0.0,377532.0,0.0,0.0
Delaware,29324.294487777774,0.5714285714285714,378981.3333333333,0.0,0.0
Florida,1295454.6756307692,0.5408163265306123,427592.6666666667,1.0,0.0
Georgia,632570.893075,0.0,406878.0,0.0,0.0
Hawaii,82339.184378,0.0,376470.0,1.0,0.0
Idaho,417077.46765,0.5714285714285714,383704.6666666667,0.0,0.0
Illinois,699995.569723077,0.5714285714285714,409505.3333333333,0.0,0.0
Indiana,238307.29135583332,0.5204081632653061,389795.3333333333,0.0,0.0
Iowa,760260.2139846154,0.0,408526.0,0.0,0.0
Kansas,260742.74504545453,0.0,391671.3333333333,1.0,1.0
Kentucky,186671.30839631578,0.0,386733.3333333333,0.0,0.0
Louisiana,210714.26393552104,0.0,383489.3333333333,0.0,0.0
Maine,38129.957240714284,0.0,378153.3333333333,0.0,0.0
Maryland,350602.96563999995,0.5306122448979592,384375.3333333333,1.0,0.0
Massachusetts,89834.59255153847,0.46938775510204084,384630.0,0.0,0.0
Michigan,277550.4587214286,0.47959183673469385,390895.3333333333,0.0,0.0
Minnesota,96075.60398076923,0.5816326530612245,398086.0,1.0,0.0
Mississippi,305802.0572916667,0.0,390304.0,0.0,0.0
Missouri,521519.53460714285,0.0,395073.3333333333,1.0,0.0
Montana,215801.39230357143,0.0,377572.6666666667,1.0,0.0
Nebraska,384728.82987333334,0.5,397356.0,1.0,0.0
New Hampshire,40157.590445384616,0.0,375622.6666666667,0.0,0.0
New York,423463.7513083333,0.5510204081632653,404051.3333333333,0.0,0.0
North Carolina,1164674.8181818181,0.46938775510204084,408132.6666666667,0.0,0.0
North Dakota,56111.370310000006,0.0,377467.3333333333,1.0,0.0
Ohio,550786.5937538461,0.5612244897959183,398424.6666666667,0.0,0.0
Oklahoma,516944.63765654544,0.0,383013.3333333333,1.0,0.0
Oregon,1352649.2678642857,0.5306122448979592,390184.6666666667,1.0,0.0
Pennsylvania,266073.66563,0.6020408163265306,404736.0,0.0,0.0
South Carolina,248775.91519285712,0.5816326530612245,385342.0,1.0,0.0
South Dakota,69591.1328111111,0.0,378683.3333333333,0.0,0.0
Tennessee,156975.1850946154,0.5306122448979592,388608.6666666667,0.0,0.0
Texas,1986343.4899557142,0.5510204081632653,439914.0,0.0,0.0
Utah,27510.11417625,0.0,383489.3333333333,0.0,0.0
Vermont,36660.77215463636,0.0,375058.0,1.0,0.0
Virginia,445677.73127,0.5306122448979592,393519.3333333333,1.0,0.0
Washington,658155.5036764706,0.0,401324.6666666667,1.0,0.0
West Virginia,45098.59872,0.5306122448979592,378239.3333333333,0.0,0.0
Wisconsin,248260.21748356,0.5204081632653061,396121.3333333333,1.0,0.0
