state,contrib_agri,sals,agemploy,agtaxcredit,interstate_compact_on_agricultur,econdev,pldvpag,drawmilk
Alabama,3026887.25,0.0,480832.0,0.0,0.0,0.0,1.0,0.5
Alaska,169741.0938,0.0,396322.0,0.0,0.0,1.0,0.0,0.5
Arizona,340885.5625,1.0,426162.0,0.0,0.0,1.0,0.0,1.0
Arkansas,969223.8125,1.0,447002.0,0.0,0.0,0.0,1.0,1.0
Colorado,308957.9063,0.0,425462.0,1.0,1.0,1.0,1.0,0.5
Connecticut,166374.0,0.0,399532.0,0.0,0.0,0.0,1.0,1.0
Delaware,61667.0,1.0,385072.0,0.0,0.0,1.0,0.0,0.0
Florida,2770097.5,1.0,502542.0,1.0,0.0,1.0,1.0,0.0
Georgia,2281979.0,0.0,452662.0,0.0,0.0,0.0,1.0,0.0
Hawaii,167417.5156,0.0,383732.0,1.0,0.0,1.0,0.0,0.0
Idaho,945649.1875,1.0,414342.0,0.0,0.0,1.0,1.0,1.0
Illinois,1865594.625,1.0,461732.0,0.0,0.0,0.0,1.0,1.0
Indiana,605015.0,1.0,416182.0,0.0,0.0,1.0,1.0,0.5
Iowa,2524947.0,0.0,472822.0,0.0,0.0,1.0,1.0,0.0
Kansas,517374.5625,0.0,404952.0,1.0,1.0,0.0,1.0,1.0
Kentucky,684546.0,0.0,401252.0,0.0,0.0,1.0,1.0,0.5
Louisiana,1010687.625,0.0,406062.0,0.0,0.0,1.0,1.0,0.0
Maine,97523.02344,0.0,403642.0,0.0,0.0,0.0,1.0,1.0
Maryland,444509.9688,1.0,428172.0,1.0,0.0,0.0,1.0,0.5
Massachusetts,201451.0,1.0,434602.0,0.0,0.0,0.0,1.0,1.0
Michigan,547454.5,1.0,432272.0,0.0,0.0,0.0,1.0,0.5
Minnesota,276294.7813,1.0,427712.0,1.0,0.0,1.0,1.0,1.0
Mississippi,822551.625,0.0,404442.0,0.0,0.0,0.0,1.0,1.0
Missouri,1471588.25,0.0,419102.0,1.0,0.0,1.0,1.0,1.0
Montana,486636.375,0.0,399192.0,1.0,0.0,0.0,1.0,0.0
Nebraska,2400433.5,1.0,444982.0,1.0,0.0,0.0,1.0,1.0
New Hampshire,85420.0,0.0,389112.0,0.0,0.0,0.0,1.0,1.0
New York,941934.75,1.0,514762.0,0.0,0.0,1.0,1.0,1.0
North Carolina,2227190.75,1.0,456692.0,0.0,0.0,1.0,1.0,0.0
North Dakota,209505.7031,0.0,388802.0,1.0,0.0,0.0,0.0,0.5
Ohio,1228451.0,1.0,449332.0,0.0,0.0,1.0,0.0,1.0
Oklahoma,1142450.625,0.0,398802.0,1.0,0.0,1.0,1.0,1.0
Oregon,2794136.25,1.0,417122.0,1.0,0.0,1.0,1.0,1.0
Pennsylvania,892547.875,1.0,471742.0,0.0,0.0,0.0,1.0,1.0
South Carolina,629142.6875,1.0,398762.0,1.0,0.0,0.0,1.0,1.0
South Dakota,145795.1406,0.0,393392.0,0.0,0.0,0.0,0.0,1.0
Tennessee,564664.4375,1.0,409932.0,0.0,0.0,1.0,1.0,0.5
Texas,5424860.5,1.0,545482.0,0.0,0.0,0.0,1.0,1.0
Utah,60949.32813,0.0,440042.0,0.0,0.0,0.0,1.0,1.0
Vermont,113014.8438,0.0,378702.0,1.0,0.0,0.0,1.0,1.0
Virginia,1244105.5,1.0,442882.0,1.0,0.0,1.0,1.0,0.5
Washington,1416680.625,0.0,454542.0,1.0,0.0,0.0,1.0,1.0
West Virginia,150545.2656,1.0,403252.0,0.0,0.0,1.0,1.0,0.5
Wisconsin,1277996.125,1.0,427332.0,1.0,0.0,0.0,1.0,1.0
