state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Alabama,0.028325897959183673,-1.1766317260869565,1.45,-7.8988537354999995,0.07433333333333333,67.0,442.0810810810811,0.0,509.0810810810811
Alaska,0.036883769230769234,,1.78,22.7256754025,0.25966666666666666,11.0,146.72972972972974,0.0,157.72972972972974
Arizona,0.05115377551020408,0.2956270713913044,1.78,3.7757440242499998,0.22866666666666668,14.72972972972973,83.10810810810811,0.0,97.83783783783784
Arkansas,0.04206475510204082,-0.7211238401304348,1.57,5.7026631105,0.10833333333333334,75.0,487.3783783783784,0.0,562.3783783783783
Colorado,0.05180197959183674,0.8257423129565218,2.0,9.15785503425,0.2193333333333333,62.0,267.43243243243245,0.0,329.43243243243245
Connecticut,0.050290326530612245,0.5872046046086956,1.89,-0.6227702682499999,0.18933333333333335,0.0,30.81081081081081,149.0,179.8108108108108
Delaware,0.04558536734693878,-0.07638725100000002,1.58,-1.11827505725,0.15933333333333333,3.0,56.5945945945946,0.0,59.5945945945946
Florida,0.04606316326530612,-0.5106699195652173,1.88,2.077962576,0.23199999999999998,66.0,396.94594594594594,0.0,462.94594594594594
Georgia,0.041017448979591836,-0.9079720713608694,1.73,3.5676423902500005,0.12166666666666666,156.35135135135135,533.3513513513514,0.0,689.7027027027027
Hawaii,0.055622807692307694,,1.88,-6.5287131515,0.241,3.0,1.0,0.0,4.0
Idaho,0.03603791836734694,0.7476744272608695,1.93,-4.80769555025,0.14233333333333334,44.0,199.1891891891892,0.0,243.1891891891892
Illinois,0.06645165306122448,0.18392595673913043,1.96,-12.89580648575,0.2803333333333333,102.0,1285.8918918918919,1433.1081081081081,2821.0
Indiana,0.044029673469387756,-0.23293414404347826,1.44,12.6614268185,0.11699999999999999,91.0,566.3513513513514,1007.7837837837837,1665.1351351351352
Iowa,0.03460434693877551,0.9997396747391305,1.84,-0.794792433,0.20000000000000004,99.0,951.3513513513514,0.0,1050.3513513513512
Kansas,0.043998224489795915,0.8010196751739131,1.71,11.1467381655,0.12033333333333333,104.45945945945945,626.6216216216217,1355.6216216216217,2086.7027027027025
Kentucky,0.03994063265306122,-0.7584694331304348,1.58,5.53547491725,0.10433333333333333,118.67567567567568,424.56756756756755,0.0,543.2432432432432
Louisiana,0.05657769387755102,-0.7085236435652174,1.6,-5.212939793,0.141,60.810810810810814,301.6756756756757,0.0,362.4864864864865
Maine,0.056333895833333335,1.5343810958695652,1.78,16.50107328,0.12233333333333334,16.0,22.27027027027027,469.5945945945946,507.86486486486484
Maryland,0.044664693877551016,-0.10710830891304349,2.06,-10.9039705715,0.21166666666666667,23.0,154.86486486486487,0.0,177.86486486486487
